rank,word,length,language
252,does,4,english
254,morning,7,english
255,myself,6,english
256,Gutenberg,9,english
257,felt,4,english
258,until,5,english
259,since,5,english
260,power,5,english
261,themselves,10,english
262,used,4,english
263,rather,6,english
264,began,5,english
265,present,7,english
266,voice,5,english
267,others,6,english
268,white,5,english
269,works,5,english
270,less,4,english
271,money,5,english
272,next,4,english
273,poor,4,english
274,death,5,english
275,stood,5,english
276,form,4,english
277,within,6,english
278,together,8,english
279,till,4,english
281,large,5,english
282,matter,6,english
283,kind,4,english
284,often,5,english
285,certain,7,english
286,herself,7,english
287,year,4,english
288,friend,6,english
289,half,4,english
290,order,5,english
291,round,5,english
292,true,4,english
293,anything,8,english
294,keep,4,english
295,sent,4,english
296,wife,4,english
297,means,5,english
298,believe,7,english
299,passed,6,english
300,feet,4,english
301,near,4,english
302,public,6,english
303,state,5,english
305,hundred,7,english
306,children,8,english
307,thus,4,english
308,hope,4,english
309,alone,5,english
310,above,5,english
311,case,4,english
312,dear,4,english
313,thee,4,english
314,says,4,english
315,person,6,english
316,high,4,english
317,read,4,english
318,city,4,english
319,already,7,english
320,received,8,english
321,fact,4,english
322,gone,4,english
323,girl,4,english
324,known,5,english
325,hear,4,english
326,times,5,english
327,least,5,english
328,perhaps,7,english
329,sure,4,english
330,indeed,6,english
331,english,7,english
332,open,4,english
333,body,4,english
334,itself,6,english
335,along,5,english
336,land,4,english
337,return,6,english
338,leave,5,english
340,nature,6,english
341,answered,8,english
342,either,6,english
344,help,4,english
346,point,5,english
347,child,5,english
348,letter,6,english
349,four,4,english
350,wish,4,english
351,fire,4,english
352,cried,5,english
354,women,5,english
355,speak,5,english
356,number,6,english
357,therefore,9,english
358,hour,4,english
359,friends,7,english
360,held,4,english
361,free,4,english
363,during,6,english
364,several,7,english
365,business,8,english
366,whether,7,english
368,manner,6,english
369,second,6,english
370,reason,6,english
371,replied,7,english
372,united,6,english
373,call,4,english
374,general,7,english
376,behind,6,english
377,became,6,english
378,john,4,english
379,become,6,english
380,dead,4,english
381,earth,5,english
383,lost,4,english
384,forth,5,english
385,thousand,8,english
386,looking,7,english
388,family,6,english
389,soul,4,english
390,feel,4,english
391,coming,6,english
392,England,7,english
393,spirit,6,english
394,question,8,english
395,care,4,english
396,truth,5,english
397,ground,6,english
398,really,6,english
399,rest,4,english
400,mean,4,english
401,different,9,english
402,making,6,english
403,possible,8,english
404,fell,4,english
405,towards,7,english
406,human,5,english
407,kept,4,english
408,short,5,english
409,town,4,english
410,following,9,english
411,need,4,english
412,cause,5,english
414,evening,7,english
415,returned,8,english
416,five,4,english
417,strong,6,english
418,able,4,english
419,french,6,english
420,live,4,english
421,lady,4,english
422,subject,7,english
424,answer,6,english
426,fear,4,english
427,understand,10,english
428,hard,4,english
429,terms,5,english
430,doubt,5,english
431,around,6,english
433,arms,4,english
434,turn,4,english
435,sense,5,english
436,seems,5,english
437,black,5,english
438,bring,5,english
439,followed,8,english
440,beautiful,9,english
441,close,5,english
442,dark,4,english
443,hold,4,english
444,character,9,english
445,sort,4,english
446,sight,5,english
448,show,4,english
449,party,5,english
450,fine,4,english
452,ready,5,english
453,story,5,english
454,common,6,english
455,book,4,english
456,electronic,10,english
457,talk,4,english
458,account,7,english
459,mark,4,english
460,interest,8,english
461,written,7,english
464,necessary,9,english
466,else,4,english
467,force,5,english
468,idea,4,english
469,longer,6,english
471,spoke,5,english
472,across,6,english
473,brother,7,english
474,early,5,english
475,ought,5,english
476,sometimes,9,english
477,line,4,english
478,saying,6,english
479,table,5,english
480,appeared,8,english
481,river,5,english
482,continued,9,english
486,information,11,english
487,later,5,english
488,everything,10,english
489,reached,7,english
490,suddenly,8,english
491,past,4,english
492,hours,5,english
493,strange,7,english
494,deep,4,english
495,change,6,english
496,miles,5,english
497,feeling,7,english
499,meet,4,english
500,paid,4,english
501,further,7,english
502,purpose,7,english
503,happy,5,english
504,added,5,english
505,seem,4,english
506,taking,6,english
507,blood,5,english
508,rose,4,english
509,south,5,english
510,beyond,6,english
511,cold,4,english
512,neither,7,english
513,forward,7,english
514,view,4,english
516,position,8,english
517,sound,5,english
518,none,4,english
519,entered,7,english
520,clear,5,english
521,road,4,english
522,late,4,english
523,stand,5,english
524,suppose,7,english
526,daughter,8,english
527,real,4,english
528,nearly,6,english
529,mine,4,english
530,laws,4,english
531,knowledge,9,english
532,comes,5,english
533,toward,6,english
536,copy,4,english
537,husband,7,english
539,France,6,english
540,living,6,english
541,peace,5,english
544,north,5,english
545,remember,8,english
546,effect,6,english
547,natural,7,english
548,pretty,6,english
549,fall,4,english
550,fair,4,english
551,service,7,english
552,below,5,english
553,except,6,english
554,American,8,english
555,hair,4,english
556,London,6,english
557,laid,4,english
558,pass,4,english
560,copyright,9,english
561,doing,5,english
562,army,4,english
564,horse,5,english
565,future,6,english
566,opened,6,english
567,pleasure,8,english
568,history,7,english
569,west,4,english
574,hath,4,english
575,note,4,english
576,although,8,english
577,wanted,6,english
578,gold,4,english
579,makes,5,english
580,desire,6,english
581,play,4,english
582,master,6,english
583,office,6,english
584,tried,5,english
585,front,5,english
588,lived,5,english
589,certainly,9,english
590,wind,4,english
591,receive,7,english
592,attention,9,english
593,government,10,english
594,unto,4,english
595,church,6,english
596,strength,8,english
597,length,6,english
598,company,7,english
599,placed,6,english
600,paper,5,english
601,letters,7,english
602,probably,8,english
603,glad,4,english
604,important,9,english
605,especially,10,english
606,greater,7,english
607,yourself,8,english
608,fellow,6,english
609,bear,4,english
610,opinion,7,english
611,window,6,english
613,faith,5,english
615,agreement,9,english
616,charge,6,english
617,beauty,6,english
618,lips,4,english
619,remained,8,english
621,latter,6,english
622,duty,4,english
623,send,4,english
624,distance,8,english
625,silence,7,english
626,foot,4,english
627,wild,4,english
628,object,6,english
630,save,4,english
631,gentleman,9,english
632,trees,5,english
633,green,5,english
634,trouble,7,english
635,smile,5,english
636,books,5,english
637,wrong,5,english
638,various,7,english
639,sleep,5,english
640,persons,7,english
641,blockquote,10,english
642,happened,8,english
643,particular,10,english
644,drew,4,english
645,minutes,7,english
646,hardly,6,english
647,walked,6,english
648,chief,5,english
649,chance,6,english
650,according,9,english
651,beginning,9,english
652,action,6,english
653,deal,4,english
654,loved,5,english
655,visit,5,english
656,thinking,8,english
657,follow,6,english
658,standing,8,english
659,knows,5,english
661,presence,8,english
662,heavy,5,english
663,sweet,5,english
664,plain,5,english
665,donations,9,english
666,immediately,11,english
667,wrote,5,english
668,mouth,5,english
669,rich,4,english
670,thoughts,8,english
671,months,6,english
674,afraid,6,english
675,Paris,5,english
676,single,6,english
678,enemy,5,english
679,broken,6,english
680,unless,6,english
681,states,6,english
682,ship,4,english
683,condition,9,english
684,carry,5,english
685,exclaimed,9,english
686,including,9,english
687,filled,6,english
688,seeing,6,english
689,influence,9,english
690,write,5,english
691,boys,4,english
692,appear,6,english
693,outside,7,english
694,secret,6,english
695,parts,5,english
696,please,6,english
697,appearance,10,english
698,evil,4,english
699,march,5,english
700,George,6,english
701,whatever,8,english
702,slowly,6,english
703,tears,5,english
704,horses,6,english
705,places,6,english
706,caught,6,english
707,stay,4,english
708,instead,7,english
709,struck,6,english
710,blue,4,english
711,York,4,english
712,impossible,10,english
713,period,6,english
714,sister,6,english
715,battle,6,english
716,school,6,english
717,Mary,4,english
718,raised,6,english
719,occasion,8,english
720,married,7,english
722,former,6,english
723,food,4,english
724,youth,5,english
725,learned,7,english
726,merely,6,english
727,reach,5,english
728,system,6,english
729,twenty,6,english
730,dinner,6,english
731,quiet,5,english
732,easily,6,english
733,moved,5,english
734,afterwards,10,english
735,giving,6,english
736,walk,4,english
737,stopped,7,english
738,laughed,7,english
739,language,8,english
740,expression,10,english
741,week,4,english
742,hall,4,english
743,danger,6,english
744,property,8,english
745,wonder,6,english
746,usual,5,english
747,figure,6,english
748,born,4,english
749,court,5,english
750,generally,9,english
751,grew,4,english
752,showed,6,english
753,getting,7,english
754,ancient,7,english
755,respect,7,english
756,third,5,english
757,worth,5,english
758,simple,6,english
759,tree,4,english
760,leaving,7,english
761,remain,6,english
762,society,7,english
763,fight,5,english
764,wall,4,english
765,result,6,english
766,heaven,6,english
767,William,7,english
768,started,7,english
769,command,7,english
770,tone,4,english
771,regard,6,english
772,expected,8,english
773,mere,4,english
774,month,5,english
775,beside,6,english
776,silent,6,english
777,perfect,7,english
778,experience,10,english
779,street,6,english
780,writing,7,english
781,goes,4,english
782,circumstances,13,english
783,entirely,8,english
784,fresh,5,english
785,duke,4,english
786,covered,7,english
787,bound,5,english
788,east,4,english
789,wood,4,english
790,stone,5,english
791,quickly,7,english
792,notice,6,english
793,bright,6,english
794,Christ,6,english
795,boat,4,english
796,noble,5,english
797,meant,5,english
798,somewhat,8,english
799,sudden,6,english
800,value,5,english
802,direction,9,english
803,chair,5,english
805,support,7,english
807,date,4,english
808,waiting,7,english
809,Christian,9,english
810,village,7,english
811,lives,5,english
812,reading,7,english
813,agree,5,english
814,lines,5,english
815,considered,10,english
816,field,5,english
817,observed,8,english
818,scarcely,8,english
819,wished,6,english
820,wait,4,english
821,greatest,8,english
822,permission,10,english
823,success,7,english
824,piece,5,english
825,British,7,english
827,Charles,7,english
828,formed,6,english
829,speaking,8,english
830,trying,6,english
831,conversation,12,english
832,proper,6,english
833,hill,4,english
834,music,5,english
835,opportunity,11,english
837,German,6,english
838,afternoon,9,english
840,cost,4,english
841,allowed,7,english
842,girls,5,english
843,considerable,12,english
845,broke,5,english
846,honour,6,english
847,seven,5,english
848,private,7,english
850,news,4,english
852,scene,5,english
853,discovered,10,english
854,marriage,8,english
855,step,4,english
856,garden,6,english
857,race,4,english
858,begin,5,english
860,individual,10,english
861,sitting,7,english
862,learn,5,english
863,political,9,english
864,difficult,9,english
866,speech,6,english
867,Henry,5,english
869,cast,4,english
871,authority,9,english
873,floor,5,english
875,ways,4,english
876,officers,8,english
877,offered,7,english
878,original,8,english
879,happiness,9,english
880,flowers,7,english
881,produced,8,english
882,summer,6,english
883,provide,7,english
884,study,5,english
885,religion,8,english
886,picture,7,english
887,walls,5,english
888,personal,8,english
889,America,7,english
890,watch,5,english
891,pleased,7,english
892,leaves,6,english
893,declared,8,english
895,understood,10,english
896,effort,6,english
897,prepared,8,english
898,escape,6,english
899,attempt,7,english
900,supposed,8,english
901,killed,6,english
902,fast,4,english
903,author,6,english
904,Indian,6,english
905,brown,5,english
906,determined,10,english
907,pain,4,english
908,spring,6,english
909,takes,5,english
910,drawn,5,english
911,soldiers,8,english
912,houses,6,english
913,beneath,7,english
914,talking,7,english
915,turning,7,english
916,century,7,english
917,steps,5,english
918,intended,8,english
919,soft,4,english
920,straight,8,english
921,matters,7,english
922,likely,6,english
923,corner,6,english
924,trademark,9,english
925,justice,7,english
926,simply,6,english
927,produce,7,english
928,trust,5,english
929,appears,7,english
930,Rome,4,english
931,laugh,5,english
932,forget,6,english
933,Europe,6,english
934,passage,7,english
935,eight,5,english
936,closed,6,english
937,ourselves,9,english
938,gives,5,english
939,dress,5,english
940,passing,7,english
941,terrible,8,english
942,required,8,english
943,medium,6,english
944,efforts,7,english
945,sake,4,english
946,breath,6,english
947,wise,4,english
948,ladies,6,english
949,possession,10,english
950,pleasant,8,english
951,perfectly,9,english
953,memory,6,english
954,usually,7,english
955,grave,5,english
956,fixed,5,english
957,modern,6,english
958,spot,4,english
959,troops,6,english
960,rise,4,english
961,break,5,english
962,fifty,5,english
963,island,6,english
964,meeting,7,english
965,camp,4,english
966,nation,6,english
967,existence,9,english
968,reply,5,english
970,copies,6,english
972,touch,5,english
973,equal,5,english
974,fortune,7,english
976,shore,5,english
977,domain,6,english
978,named,5,english
979,situation,9,english
980,looks,5,english
981,promise,7,english
982,orders,6,english
983,degree,6,english
984,middle,6,english
985,winter,6,english
986,plan,4,english
987,spent,5,english
988,allow,5,english
989,pale,4,english
990,conduct,7,english
991,running,7,english
992,religious,9,english
993,surprise,8,english
994,minute,6,english
995,roman,5,english
996,cases,5,english
997,shot,4,english
998,lead,4,english
999,move,4,english
1000,names,5,english
1001,stop,4,english
1002,higher,6,english
1005,threw,5,english
1006,worse,5,english
1007,built,5,english
1008,spoken,6,english
1009,glass,5,english
1010,board,5,english
1011,vain,4,english
1012,affairs,7,english
1013,instance,8,english
1014,safe,4,english
1015,loss,4,english
1016,doctor,6,english
1017,offer,5,english
1018,class,5,english
1019,complete,8,english
1020,access,6,english
1021,lower,5,english
1023,repeated,8,english
1024,forms,5,english
1025,darkness,8,english
1026,military,8,english
1027,warm,4,english
1028,drink,5,english
1029,passion,7,english
1030,ones,4,english
1031,physical,8,english
1032,example,7,english
1033,ears,4,english
1034,questions,9,english
1035,start,5,english
1036,lying,5,english
1037,smiled,6,english
1038,keeping,7,english
1039,spite,5,english
1040,shown,5,english
1041,directly,8,english
1042,james,5,english
1043,hart,4,english
1044,serious,7,english
1047,silver,6,english
1048,sufficient,10,english
1049,main,4,english
1050,mentioned,9,english
1051,servant,7,english
1052,pride,5,english
1053,crowd,5,english
1054,train,5,english
1055,wonderful,9,english
1056,moral,5,english
1057,instant,7,english
1058,associated,10,english
1059,path,4,english
1060,greek,5,english
1061,meaning,7,english
1063,ordered,7,english
1066,proved,6,english
1067,obliged,7,english
1068,enter,5,english
1069,rule,4,english
1070,sword,5,english
1071,attack,6,english
1072,seat,4,english
1073,game,4,english
1074,health,6,english
1075,paragraph,9,english
1076,statement,9,english
1077,social,6,english
1078,refund,6,english
1079,sorry,5,english
1080,courage,7,english
1081,members,7,english
1082,grace,5,english
1083,official,8,english
1084,dream,5,english
1085,worthy,6,english
1086,rock,4,english
1087,jack,4,english
1088,provided,8,english
1089,special,7,english
1090,shook,5,english
1091,request,7,english
1092,mighty,6,english
1093,glance,6,english
1094,heads,5,english
1095,movement,8,english
1097,share,5,english
1098,expect,6,english
1100,dollars,7,english
1101,spread,6,english
1102,opposite,8,english
1103,glory,5,english
1104,twelve,6,english
1105,space,5,english
1106,engaged,7,english
1107,peter,5,english
1108,wine,4,english
1109,ordinary,8,english
1110,mountains,9,english
1111,taste,5,english
1112,iron,4,english
1114,distribute,10,english
1115,trade,5,english
1116,consider,8,english
1117,greatly,7,english
1118,accepted,8,english
1119,forced,6,english
1120,advantage,9,english
1121,ideas,5,english
1122,decided,7,english
1123,using,5,english
1124,officer,7,english
1125,rate,4,english
1126,clothes,7,english
1127,sign,4,english
1128,feelings,8,english
1129,native,6,english
1130,promised,8,english
1131,judge,5,english
1132,difference,10,english
1133,working,7,english
1134,anxious,7,english
1135,marry,5,english
1136,captain,7,english
1137,finished,8,english
1138,extent,6,english
1139,watched,7,english
1140,curious,7,english
1141,foreign,7,english
1142,besides,7,english
1143,method,6,english
1144,excellent,9,english
1145,confidence,10,english
1146,marked,6,english
1148,jesus,5,english
1149,exactly,7,english
1150,importance,10,english
1151,finally,7,english
1152,bill,4,english
1153,vast,4,english
1154,prove,5,english
1155,fancy,5,english
1156,quick,5,english
1158,sought,6,english
1159,prevent,7,english
1160,neck,4,english
1161,hearts,6,english
1162,liberty,7,english
1163,interesting,11,english
1164,sides,5,english
1165,legal,5,english
1166,gentlemen,9,english
1168,serve,5,english
1169,aside,5,english
1170,pure,4,english
1171,concerning,10,english
1172,forgotten,9,english
1173,lose,4,english
1174,powers,6,english
1175,possessed,9,english
1176,thrown,6,english
1177,evidence,8,english
1178,distant,7,english
1179,Michael,7,english
1180,progress,8,english
1181,similar,7,english
1182,narrow,6,english
1183,altogether,10,english
1184,building,8,english
1185,page,4,english
1186,particularly,12,english
1187,knowing,7,english
1188,weeks,5,english
1189,settled,7,english
1190,holding,7,english
1191,mountain,8,english
1192,search,6,english
1195,lies,4,english
1196,proud,5,english
1197,pieces,6,english
1198,clearly,7,english
1199,price,5,english
1200,ships,5,english
1201,thirty,6,english
1202,sick,4,english
1203,honest,6,english
1204,shut,4,english
1205,talked,6,english
1206,bank,4,english
1207,fate,4,english
1208,dropped,7,english
1209,judgment,8,english
1210,conditions,10,english
1212,accept,6,english
1213,hills,5,english
1214,removed,7,english
1215,forest,6,english
1216,measure,7,english
1217,species,7,english
1218,seek,4,english
1219,highest,7,english
1220,otherwise,9,english
1221,stream,6,english
1222,honor,5,english
1223,carefully,9,english
1224,obtained,8,english
1226,bread,5,english
1227,bottom,6,english
1228,additional,10,english
1229,presented,9,english
1231,fingers,7,english
1233,remembered,10,english
1234,choose,6,english
1235,agreed,6,english
1236,animal,6,english
1237,events,6,english
1239,fully,5,english
1240,delight,7,english
1241,rights,6,english
1242,amount,6,english
1243,obtain,6,english
1245,servants,8,english
1246,sons,4,english
1247,cross,5,english
1248,shoulders,9,english
1249,thick,5,english
1250,points,6,english
1251,stranger,8,english
1252,woods,5,english
1253,facts,5,english
1254,dare,4,english
1255,grow,4,english
1256,creature,8,english
1257,hung,4,english
1258,rain,4,english
1259,false,5,english
1260,tall,4,english
1261,gate,4,english
1262,nations,7,english
1263,created,7,english
1264,refused,7,english
1265,quietly,7,english
1266,surface,7,english
1267,freely,6,english
1268,holy,4,english
1269,streets,7,english
1270,blow,4,english
1271,july,4,english
1272,regarded,8,english
1273,fashion,7,english
1274,report,6,english
1275,coast,5,english
1276,daily,5,english
1277,file,4,english
1278,shoulder,8,english
1279,surprised,9,english
1280,faces,5,english
1281,succeeded,9,english
1282,birds,5,english
1283,distribution,12,english
1284,royal,5,english
1285,song,4,english
1286,wealth,6,english
1287,comfort,7,english
1288,failed,6,english
1289,freedom,7,english
1290,peculiar,8,english
1291,anyone,6,english
1292,advance,7,english
1293,gentle,6,english
1294,surely,6,english
1295,animals,7,english
1296,waited,6,english
1297,secure,6,english
1298,desired,7,english
1299,grass,5,english
1300,touched,7,english
1301,occupied,8,english
1302,draw,4,english
1303,stage,5,english
1304,portion,7,english
1305,expressed,9,english
1306,opening,7,english
1307,june,4,english
1308,spirits,7,english
1309,fish,4,english
1310,tongue,6,english
1311,capital,7,english
1312,angry,5,english
1313,growing,7,english
1314,served,6,english
1315,carriage,8,english
1316,weather,7,english
1317,breast,6,english
1318,presently,9,english
1319,snow,4,english
1320,David,5,english
1321,papers,6,english
1322,necessity,9,english
1323,practice,8,english
1324,claim,5,english
1325,hast,4,english
1326,education,9,english
1327,sharp,5,english
1328,prince,6,english
1329,permitted,9,english
1330,group,5,english
1331,enemies,7,english
1332,robert,6,english
1333,played,6,english
1334,throughout,10,english
1335,pity,4,english
1336,expense,7,english
1337,yours,5,english
1338,million,7,english
1340,pray,4,english
1341,taught,6,english
1342,explained,9,english
1343,tired,5,english
1344,leading,7,english
1345,kill,4,english
1346,shadow,6,english
1347,companion,9,english
1348,weight,6,english
1349,mass,4,english
1350,established,11,english
1351,suffered,8,english
1352,gray,4,english
1353,brave,5,english
1354,thin,4,english
1355,satisfied,9,english
1356,check,5,english
1357,virtue,6,english
1358,golden,6,english
1359,numerous,8,english
1360,frequently,10,english
1361,famous,6,english
1362,telling,7,english
1363,powerful,8,english
1364,alive,5,english
1365,waters,6,english
1366,national,8,english
1367,weak,4,english
1368,divine,6,english
1369,material,8,english
1370,principal,9,english
1371,gathered,8,english
1372,suggested,9,english
1373,frank,5,english
1374,valley,6,english
1375,guess,5,english
1376,finding,7,english
1377,yellow,6,english
1378,heat,4,english
1379,remains,7,english
1380,bent,4,english
1381,seized,6,english
1382,guard,5,english
1383,equally,7,english
1384,naturally,9,english
1386,remarkable,10,english
1387,gods,4,english
1388,moon,4,english
1389,slight,6,english
1390,style,5,english
1391,pointed,7,english
1392,saved,5,english
1393,windows,7,english
1394,crossed,7,english
1395,louis,5,english
1396,pounds,6,english
1398,evidently,9,english
1399,principle,9,english
1400,immediate,9,english
1401,willing,7,english
1402,consequence,11,english
1403,richard,7,english
1404,principles,10,english
1405,characters,10,english
1406,paul,4,english
1407,season,6,english
1408,remarked,8,english
1409,science,7,english
1410,tender,6,english
1411,worked,6,english
1412,grown,5,english
1413,whispered,9,english
1414,interested,10,english
1415,quarter,7,english
1416,midst,5,english
1417,liked,5,english
1418,advanced,8,english
1419,apparently,10,english
1420,bore,4,english
1422,active,6,english
1423,noticed,7,english
1424,aware,5,english
1425,thomas,6,english
1426,uncle,5,english
1427,list,4,english
1428,dangerous,9,english
1429,august,6,english
1430,calm,4,english
1431,genius,6,english
1432,sacred,6,english
1433,kingdom,7,english
1434,entire,6,english
1435,popular,7,english
1436,unknown,7,english
1437,nice,4,english
1438,habit,5,english
1439,spanish,7,english
1440,familiar,8,english
1441,reader,6,english
1442,published,9,english
1443,direct,6,english
1444,handsome,8,english
1446,joined,6,english
1447,actually,8,english
1448,kings,5,english
1450,posted,6,english
1451,approach,8,english
1452,Washington,10,english
1453,hearing,7,english
1454,needed,6,english
1455,increased,9,english
1456,walking,7,english
1457,twice,5,english
1458,throw,5,english
1459,intellectual,12,english
1460,appointed,9,english
1461,wisdom,6,english
1462,ceased,6,english
1463,truly,5,english
1464,numbers,7,english
1465,demanded,8,english
1466,priest,6,english
1467,wounded,7,english
1468,sorrow,6,english
1469,drive,5,english
1470,fault,5,english
1471,listened,8,english
1472,palace,6,english
1473,affair,6,english
1474,contact,7,english
1475,distinguished,13,english
1476,station,7,english
1477,beat,4,english
1478,distributed,11,english
1480,listen,6,english
1481,Italy,5,english
1482,fool,4,english
1483,becomes,7,english
1484,watching,8,english
1485,hurt,4,english
1486,wants,5,english
1487,express,7,english
1488,occurred,8,english
1489,favour,6,english
1490,height,6,english
1491,size,4,english
1492,edge,4,english
1493,subjects,8,english
1494,task,4,english
1495,follows,7,english
1496,interests,9,english
1497,nine,4,english
1498,sympathy,8,english
1499,burst,5,english
1500,putting,7,english
1501,dressed,7,english
1502,lifted,6,english
1503,hopes,5,english
1504,suffer,6,english
1505,noise,5,english
1506,smiling,7,english
1507,rode,4,english
1508,tells,5,english
1509,minds,5,english
1510,farther,7,english
1511,literature,10,english
1512,vessel,6,english
1513,affection,9,english
1514,suffering,9,english
1515,proceeded,9,english
1516,flesh,5,english
1517,advice,6,english
1518,grand,5,english
1519,carrying,8,english
1520,legs,4,english
1521,Spain,5,english
1522,post,4,english
1523,collection,10,english
1524,empty,5,english
1525,rank,4,english
1526,storm,5,english
1528,imagine,7,english
1529,wore,4,english
1530,duties,6,english
1531,admitted,8,english
1532,countries,9,english
1533,pocket,6,english
1534,arrival,7,english
1535,imagination,11,english
1536,driven,6,english
1537,loud,4,english
1538,sentence,8,english
1539,lovely,6,english
1540,extraordinary,13,english
1541,November,8,english
1542,December,8,english
1543,happen,6,english
1544,absence,7,english
1545,breakfast,9,english
1546,population,10,english
1547,thank,5,english
1548,rules,5,english
1549,inhabitants,11,english
1550,series,6,english
1551,laughing,8,english
1552,address,7,english
1553,relief,6,english
1554,bird,4,english
1555,owner,5,english
1556,impression,10,english
1557,satisfaction,12,english
1558,coat,4,english
1559,prepare,7,english
1560,relations,9,english
1561,shape,5,english
1562,birth,5,english
1563,rapidly,7,english
1564,smoke,5,english
1565,January,7,english
1567,machine,7,english
1568,content,7,english
1569,consideration,13,english
1570,accompanied,11,english
1571,regular,7,english
1572,moving,6,english
1573,stands,6,english
1574,wholly,6,english
1575,teeth,5,english
1576,busy,4,english
1577,treated,7,english
1578,burning,7,english
1579,shame,5,english
1580,quality,7,english
1582,discover,8,english
1583,inside,6,english
1584,brain,5,english
1585,soil,4,english
1586,completely,10,english
1587,message,7,english
1588,ring,4,english
1589,resolved,8,english
1590,calling,7,english
1591,phrase,6,english
1592,acts,4,english
1593,mention,7,english
1594,square,6,english
1595,pair,4,english
1597,title,5,english
1598,understanding,13,english
1599,Sunday,6,english
1600,fruit,5,english
1602,forces,6,english
1603,included,8,english
1605,rocks,5,english
1606,nearer,6,english
1607,slaves,6,english
1608,falling,7,english
1609,absolutely,10,english
1610,slow,4,english
1611,bearing,7,english
1612,mercy,5,english
1613,larger,6,english
1614,explain,7,english
1615,contain,7,english
1616,grief,5,english
1617,soldier,7,english
1619,countenance,11,english
1620,previous,8,english
1621,explanation,11,english
1622,welcome,7,english
1623,proposed,8,english
1624,prayer,6,english
1625,stars,5,english
1626,Germany,7,english
1627,belief,6,english
1628,informed,8,english
1629,moments,7,english
1630,poetry,6,english
1631,constant,8,english
1633,final,5,english
1634,faithful,8,english
1635,ride,4,english
1636,policy,6,english
1637,supper,6,english
1638,drawing,7,english
1639,excitement,10,english
1640,dying,5,english
1641,demand,6,english
1642,fighting,8,english
1643,fields,6,english
1644,drove,5,english
1645,upper,5,english
1647,Philip,6,english
1648,motion,6,english
1649,assistance,10,english
1650,forty,5,english
1651,April,5,english
1652,stones,6,english
1653,Edward,6,english
1654,fees,4,english
1655,kindly,6,english
1656,dignity,7,english
1657,catch,5,english
1658,October,7,english
1659,seated,6,english
1660,knees,5,english
1661,amongst,7,english
1662,current,7,english
1663,sending,7,english
1664,parties,7,english
1665,objects,7,english
1666,gained,6,english
1667,bitter,6,english
1668,possibly,8,english
1669,slave,5,english
1670,separate,8,english
1671,loose,5,english
1672,text,4,english
1673,receiving,9,english
1674,worst,5,english
